map,name,rating,no of rating,type,address,Latitude,Longitude
https://www.google.com/maps/place/smoothie+factory+adelaide+central+plaza/data=!4m7!3m6!1s0x3be7c7bed131ca13:0x68d8d147a5617f6c!8m2!3d19.0897162!4d72.9082915!16s%2Fg%2F11h3dcp90s!19sChIJE8ox0b7H5zsRbH9hpUfR2Gg?authuser=0&hl=en&rclk=1,smoothie factory adelaide central plaza,,,other,"Shop No, 6, Lal Bahadur Shastri Marg",19.0897162,72.9082915
https://www.google.com/maps/place/Happy+coffee/data=!4m7!3m6!1s0x3be7cf04ec886655:0x6181c91331b662e2!8m2!3d19.0229845!4d72.8491642!16s%2Fg%2F11gsm4mz5x!19sChIJVWaI7ATP5zsR4mK2MRPJgWE?authuser=0&hl=en&rclk=1,Happy coffee,5,-3,Coffee,2RFX+5MV,19.0229845,72.8491642
https://www.google.com/maps/place/Krupa%27s+Coffee+Guy/data=!4m7!3m6!1s0x3be7cddf5cd5e98f:0x7471383f00336121!8m2!3d18.9675959!4d72.80356!16s%2Fg%2F11f3zyz23s!19sChIJj-nVXN_N5zsRIWEzAD84cXQ?authuser=0&hl=en&rclk=1,Krupa's Coffee Guy,4.6,-17,Coffee,,18.9675959,72.80356
https://www.google.com/maps/place/Hav+Coffee/data=!4m7!3m6!1s0x3be7c9cb859b8013:0x1c6b40b6e9a460e3!8m2!3d19.0858124!4d72.8357093!16s%2Fg%2F11rsfxznq9!19sChIJE4CbhcvJ5zsR42Ck6bZAaxw?authuser=0&hl=en&rclk=1,Hav Coffee,4.8,-32,other,"Brahmkumari Chouk, Dattatray Rd",19.0858124,72.8357093
https://www.google.com/maps/place/Bismillah+Tea+%26+Coldrinks/data=!4m7!3m6!1s0x3be7c8f1dcdf2c31:0x8581fc755011ec15!8m2!3d19.0720679!4d72.865218!16s%2Fg%2F1ydddkh51!19sChIJMSzf3PHI5zsRFewRUHX8gYU?authuser=0&hl=en&rclk=1,Bismillah Tea & Coldrinks,5,-1,Tea,"3VC8+R3G, Tulsi Chawl,Kalina,C.S.T.Road, Santacruz East, near Central Bank",19.0720679,72.865218
https://www.google.com/maps/place/Coffee/data=!4m7!3m6!1s0x3be7c91e883b9c37:0xe365887f3dcdbb25!8m2!3d19.0377612!4d72.8539208!16s%2Fg%2F11gmf0n_8q!19sChIJN5w7iB7J5zsRJbvNPX-IZeM?authuser=0&hl=en&rclk=1,Coffee,,,other,2VQ3+4H3,19.0377612,72.8539208
https://www.google.com/maps/place/Third+Wave+Coffee/data=!4m7!3m6!1s0x3be7cf95733c5be5:0xde1d27303fc5713f!8m2!3d18.9553867!4d72.8137461!16s%2Fg%2F11sb9fmdq2!19sChIJ5Vs8c5XP5zsRP3HFPzAnHd4?authuser=0&hl=en&rclk=1,Third Wave Coffee,4.7,"-1,062",Coffee,"Plot No 29, Dr N A Purandare Marg Chowpatty Marine Lines",18.9553867,72.8137461
https://www.google.com/maps/place/Love+%26+Latte+Sahar/data=!4m7!3m6!1s0x3be7c96951944741:0x4d295e387865fff2!8m2!3d19.1020694!4d72.8782894!16s%2Fg%2F11fmg4y57r!19sChIJQUeUUWnJ5zsR8v9leDheKU0?authuser=0&hl=en&rclk=1,Love & Latte Sahar,4.3,-24,Coffee,"Unit G2 & G3, Ground floor, Jw Marriott Sahar, The Orb, Retail Arcade",19.1020694,72.8782894
https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3be7c90b904e8641:0x2339587731d18245!8m2!3d19.0756619!4d72.8316941!16s%2Fg%2F11b7gsh208!19sChIJQYZOkAvJ5zsRRYLRMXdYOSM?authuser=0&hl=en&rclk=1,Starbucks,4.4,"-4,277",Coffee,"Grd Flr Red Chillies Entertainment Bldg Jct of 15th Rd and, South Avenue",19.0756619,72.8316941
https://www.google.com/maps/place/Blue+Tokai+Coffee+Roasters+%7C+Khar/data=!4m7!3m6!1s0x3be7c9164c45fa25:0x7f4ac8cd8f6841a3!8m2!3d19.0665492!4d72.8328431!16s%2Fg%2F11pz0j10mb!19sChIJJfpFTBbJ5zsRo0Foj83ISn8?authuser=0&hl=en&rclk=1,Blue Tokai Coffee Roasters | Khar,4.4,-263,Coffee,"Plot No 467, Ground Floor, Maya Apartment, Unit No-1, 14th Road, 16th Rd, near Dominos",19.0665492,72.8328431
